id_cliente;nombre;sexo;fecha_nacimiento;distrito;fecha_alta;segmento_programa
1;Albano Llopis Hierro;M;1993-09-04;La Molina;2023-11-21;Bronce
2;Buenaventura Calatayud Bonet;M;1994-11-14;Chorrillos;2023-11-15;Bronce
3;Héctor Alcides Andrés Bueno;M;1939-04-25;San Borja;2023-07-27;Sin Programa
4;Demetrio Vazquez Amor;M;1969-01-23;Santiago de Surco;2023-02-10;Bronce
5;Chita Rivas-Giménez;F;1948-06-23;San Borja;2023-11-22;Sin Programa
6;Macario del Agudo;M;1940-08-23;Santiago de Surco;2023-05-14;Sin Programa
7;Octavia Rocamora Nieto;F;1962-04-06;Rímac;2023-04-01;Bronce
8;Calixta Garrido Navarro;F;1997-09-12;Surco;2023-12-17;Bronce
9;Araceli Pinto Caballero;F;1996-10-02;Barranco;2023-06-22;Bronce
10;Teo Núñez Lamas;M;1940-06-03;Jesús María;2023-03-10;Sin Programa
11;Pánfilo Segovia Casanovas;M;1988-10-20;Ate;2023-05-27;Sin Programa
12;Ani Marcos;F;1989-03-28;Magdalena del Mar;2023-11-17;Bronce
13;Vicenta Tere Pardo Fernandez;F;1962-11-11;Rímac;2023-11-19;Plata
14;Alonso Goñi Mancebo;M;2001-05-14;Magdalena del Mar;2023-09-12;Bronce
15;Tania Guerrero Cabrero;F;1968-04-26;San Miguel;2023-11-20;Sin Programa
16;Emilio Santana;M;1951-03-02;Comas;2023-10-22;Bronce
17;Ceferino Pellicer Padilla;M;1951-03-16;Los Olivos;2023-10-30;Sin Programa
18;Nazaret Lasa Bellido;F;1956-03-22;San Martín de Porres;2023-11-24;Sin Programa
19;Mercedes Carlota Hierro Cárdenas;F;1944-07-04;Sin Especificar;2023-11-28;Plata
20;Goyo del Gimenez;M;1976-12-21;Surco;2023-07-23;Bronce
21;Tadeo Barba Grande;M;1993-06-15;Pueblo Libre;2023-12-01;Oro
22;Rosenda Moles Quero;F;1993-04-30;Breña;2024-01-12;Plata
23;Anacleto Galván Miranda;M;1995-02-28;San Miguel;2023-06-05;Sin Programa
24;Morena Valera Priego;F;1983-05-25;Sin Especificar;2023-07-13;Sin Programa
25;Bienvenida del Chaparro;F;1966-07-30;Sin Especificar;2023-04-07;Plata
26;Ramón Jódar Romero;M;1948-09-23;Sin Especificar;2023-07-21;Oro
27;Heraclio Gerardo Gimenez Chacón;M;1969-03-11;Pueblo Libre;2023-12-01;Bronce
28;Leire Bou-Arévalo;F;1978-11-28;Magdalena del Mar;2023-10-17;Oro
29;Carmelo Cuesta Roca;M;1957-08-24;San Martín de Porres;2023-09-29;Bronce
30;Ana Belén Gabriela Pizarro Solé;F;1967-08-16;Rímac;2023-04-06;Plata
31;Dionisia Alberdi-Carbó;F;2006-11-05;Chorrillos;2023-05-10;Plata
32;Pili Lasa-Nieto;F;1999-09-04;Barranco;2023-07-14;Oro
33;Eugenio Royo Cruz;M;1976-07-30;San Isidro;2023-08-23;Oro
34;Abril del Valle;F;1977-08-08;Villa El Salvador;2023-02-22;Sin Programa
35;Lilia Camino Martín;F;1990-12-15;Magdalena del Mar;2023-04-05;Sin Programa
36;María Fernanda Flor-Coronado;F;2004-08-13;San Isidro;2023-10-12;Sin Programa
