id_cliente;nombre;sexo;fecha_nacimiento;distrito;fecha_alta;segmento_programa
1;Albano Llopis Hierro;M;1993-09-04;La Molina;2023-11-21;Bronce
2;Buenaventura Calatayud Bonet;M;14/11/1994;Chorrillos;15/11/2023;Bronce
3;Héctor Alcides Andrés Bueno;M;25 de abril de 1939;San Borja;27/07/2023;Sin Programa
4;Demetrio Vazquez Amor;M;23/01/1969;Santiago de Surco;2023-02-10;Bronce
5;Chita Rivas-Giménez;F;23/06/1948;San Borja;2023-11-22;Sin Programa
6;Macario del Agudo;M;1940-08-23;Santiago de Surco;2023-05-14;Sin Programa
7;Octavia Rocamora Nieto;F;06/04/1962;Rímac;01/04/2023;Bronce
8;Calixta Garrido Navarro;F;12/09/1997;Surco;2023-12-17;Bronce
9;Araceli Pinto Caballero;F;02/10/1996;Barranco;22 de junio de 2023;Bronce
10;Teo Núñez Lamas;M;03/06/1940;Jesús María;2023-03-10;Sin Programa
11;Pánfilo Segovia Casanovas;M;20/10/1988;Ate;2023-05-27;Sin Programa
12;Ani Marcos;F;1989-03-28;Magdalena del Mar;2023-11-17;Bronce
13;Vicenta Tere Pardo Fernandez;F;1962-11-11;Rímac;2023-11-19;Plata
14;Alonso Goñi Mancebo;M;2001-05-14;Magdalena del Mar;2023-09-12;Bronce
15;Tania Guerrero Cabrero;F;26/04/1968;San Miguel;2023-11-20;Sin Programa
16;Emilio Santana;M;02/03/1951;Comas;22/10/2023;Bronce
17;Ceferino Pellicer Padilla;M;1951-03-16;Los Olivos;2023-10-30;Sin Programa
18;Nazaret Lasa Bellido;F;1956-03-22;San Martín de Porres;2023-11-24;Sin Programa
19;Mercedes Carlota Hierro Cárdenas;F;1944-07-04;;28/11/2023;Plata
20;Goyo del Gimenez;M;1976-12-21;Surco;23/07/2023;Bronce
21;Tadeo Barba Grande;M;1993-06-15;Pueblo Libre;2023-12-01;Oro
22;Rosenda Moles Quero;F;1993-04-30;Breña;12/01/2024;Plata
23;Anacleto Galván Miranda;M;1995-02-28;San Miguel;05/06/2023;Sin Programa
24;Morena Valera Priego;F;25/05/1983;;13 de julio de 2023;Sin Programa
25;Bienvenida del Chaparro;F;30 de julio de 1966;;07/04/2023;Plata
26;Ramón Jódar Romero;M;1948-09-23;;21/07/2023;Oro
27;Heraclio Gerardo Gimenez Chacón;M;1969-03-11;Pueblo Libre;2023-12-01;Bronce
28;Leire Bou-Arévalo;F;1978-11-28;Magdalena del Mar;2023-10-17;Oro
29;Carmelo Cuesta Roca;M;1957-08-24;San Martín de Porres;29 de septiembre de 2023;Bronce
30;Ana Belén Gabriela Pizarro Solé;F;1967-08-16;Rímac;06/04/2023;Plata
31;Dionisia Alberdi-Carbó;F;2006-11-05;Chorrillos;2023-05-10;Plata
32;Pili Lasa-Nieto;F;4 de septiembre de 1999;Barranco;14/07/2023;Oro
33;Eugenio Royo Cruz;M;1976-07-30;San Isidro;23 de agosto de 2023;Oro
34;Abril del Valle;F;1977-08-08;Villa El Salvador;22/02/2023;Sin Programa
35;Lilia Camino Martín;F;15/12/1990;Magdalena del Mar;05/04/2023;Sin Programa
36;María Fernanda Flor-Coronado;F;2004-08-13;San Isidro;12/10/2023;Sin Programa
37;Rico Cuéllar Abascal;M;1990-01-12;San Isidro;01/03/2023;Plata
38;Felix Jose Ignacio Aliaga Caparrós;M;1953-11-13;Surco;31/12/2023;Bronce
39;Valentín Meléndez Heras;M;22/06/1996;Independencia;26/10/2023;Bronce
40;Dalila Bermúdez Boada;F;17/03/1952;Santiago de Surco;30/05/2023;Sin Programa
41;Saturnino de Casas;M;1999-10-12;La Molina;2023-05-16;Sin Programa
42;Mónica Talavera Dalmau;F;10/10/1988;Villa El Salvador;2023-07-25;Sin Programa
43;Juan Luis Rocha Galán;M;1954-10-31;Breña;2024-01-03;Sin Programa
44;René Font-Mesa;M;20/01/1990;Villa El Salvador;15/12/2023;Bronce
45;Nazaret Perea;F;1939-02-01;San Miguel;27/05/2023;Sin Programa
46;Vinicio del Carrillo;M;7 de octubre de 2004;Barranco;2023-06-20;Plata
47;Coral Baró Neira;F;1956-01-29;Ate;2023-05-05;Sin Programa
48;Marita Grau Giménez;F;02/07/1968;Breña;01/09/2023;Sin Programa
49;Andrea Barral Granados;F;1985-10-29;Independencia;10/03/2023;Bronce
50;Yolanda Angulo Murillo;F;14/01/1970;Breña;2023-04-22;Sin Programa
51;Lola Gárate Lopez;F;11/07/1988;Comas;05/08/2023;Bronce
52;Custodio de Suárez;M;03/08/1972;San Isidro;05/04/2023;Sin Programa
53;Rita Suárez Ramírez;F;1996-01-04;San Isidro;2023-09-01;Sin Programa
54;Asdrubal Caballero Rosa;M;1952-05-17;San Juan de Lurigancho;12/06/2023;Bronce
55;Ileana Reig Solera;F;02/07/1958;La Molina;09/01/2024;Bronce
56;Nerea Cabello Barrera;F;1995-09-02;Ate;2023-10-30;Sin Programa
57;Prudencio Nicolau;M;01/09/1967;Comas;27/01/2023;Sin Programa
58;Diana Feliu Falcón;F;13/10/1962;La Molina;01/06/2023;Bronce
59;Jacinta Checa-Roca;F;19/06/2002;Surco;17 de abril de 2023;Plata
60;Emilio Sevillano Iborra;M;22/06/1953;Chorrillos;2023-08-25;Bronce
61;Isaura Cabañas Ayuso;F;20/09/1994;San Martín de Porres;2023-01-24;Bronce
62;Socorro Alcolea-Bueno;F;1993-04-25;Pueblo Libre;2023-04-22;Sin Programa
63;Carina Ramos Torralba;F;5 de febrero de 2000;San Isidro;2024-01-23;Bronce
64;Custodio del Barral;M;09/08/1955;Lince;2023-07-31;Sin Programa
65;Goyo Abril Portero;M;05/09/1997;San Martín de Porres;2023-04-12;Sin Programa
66;Ruben Sanz Machado;M;07/09/1939;San Miguel;2023-09-19;Bronce
67;Pablo Torrecilla;M;09/12/1944;Chorrillos;2023-10-14;Sin Programa
68;Celestina Martin Gelabert;F;1964-09-12;Rímac;24/11/2023;Sin Programa
69;Marina Barrera Mir;F;2003-10-29;San Miguel;18 de septiembre de 2023;Sin Programa
70;Amador Tapia Valverde;M;1950-08-21;San Miguel;2023-10-28;Bronce
71;Camila Barberá-Verdejo;F;25/08/1975;Surco;05/10/2023;Plata
72;Susanita Estevez Bayona;F;1994-03-09;Breña;2023-01-23;Sin Programa
73;Anabel Nereida Gutierrez Quintanilla;F;08/09/2005;San Miguel;2023-05-03;Sin Programa
